sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
2000,1,0.9,True,84,0.0,0.2176,0.215,-2940.0,1455.5785500000002,2.262,10.416,4.31,1800.0
2000,1,0.9,False,84,0.0,0.2176,0.215,-2940.0,1455.5785500000002,2.262,10.416,4.31,1800.0
2000,1,1.0,True,84,0.0,0.2176,0.215,-2940.0,1455.5785500000002,2.262,10.416,4.31,2000.0
2000,1,1.0,False,84,0.0,0.2176,0.215,-2940.0,1455.5785500000002,2.262,10.416,4.31,2000.0
300+2000,2,0.4,False,84,0.0,0.2092,0.2074,-2940.0,1246.9007000000001,2.16,10.212,4.03,1600.0
300+2000,2,0.7,True,84,0.0,0.2092,0.2074,-2940.0,1246.9007000000001,2.16,10.212,4.03,1400.0
300+2000,2,0.8,True,84,0.0,0.2092,0.2074,-2940.0,1246.9007000000001,2.16,10.212,4.03,1600.0
300+2000,2,0.9,True,84,0.0,0.2092,0.2074,-2940.0,1246.9007000000001,2.16,10.212,4.03,1800.0
930,1,0.5,True,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1000.0
930,1,0.5,False,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1000.0
930,1,0.6,True,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1200.0
930,1,0.6,False,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1200.0
930,1,0.7,True,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1400.0
930,1,0.7,False,84,0.0,0.1826,0.182,-2940.0,747.5880000000002,1.896,9.3,3.404,1400.0
300,1,0.5,True,84,0.0,0.1784,0.1778,-2940.0,687.4667250000002,1.868,8.948,2.874,1000.0
300,1,0.5,False,84,0.0,0.1784,0.1778,-2940.0,687.4667250000002,1.868,8.948,2.874,1000.0
300,1,0.6,True,84,0.0,0.1784,0.1778,-2940.0,687.4667250000002,1.868,8.948,2.874,1200.0
300,1,0.6,False,84,0.0,0.1784,0.1778,-2940.0,687.4667250000002,1.868,8.948,2.874,1200.0
930+2000,2,0.4,False,84,0.0,0.1678,0.1656,-2940.0,631.9649,1.744,10.906,4.78,1600.0
930+2000,2,0.7,True,84,0.0,0.1678,0.1656,-2940.0,631.9649,1.744,10.906,4.78,1400.0
930+2000,2,0.8,True,84,0.0,0.1678,0.1656,-2940.0,631.9649,1.744,10.906,4.78,1600.0
930+2000,2,0.9,True,84,0.0,0.1678,0.1656,-2940.0,631.9649,1.744,10.906,4.78,1800.0
300+930+2000,3,0.3,False,84,0.0,0.165,0.1626,-2940.0,579.7359000000001,1.684,10.962,4.992,1800.0
