sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
930,1,0.9,True,30,0.0,0.0006,0.0006,-2940.0,-2306.116,0.006,8.738,2.87,1800.0
930,1,0.9,False,30,0.0,0.0006,0.0006,-2940.0,-2306.116,0.006,8.738,2.87,1800.0
300+930+2000,3,0.8,False,30,0.0,0.0058,0.0058,-2940.0,-2310.908,0.058,10.768,4.71,4800.0
300+930+2000,3,0.9,False,30,0.0,0.0058,0.0058,-2940.0,-2310.908,0.058,10.768,4.71,5400.0
930+2000,2,0.7,False,30,0.0,0.0036,0.0036,-2940.0,-2329.9417,0.036,9.616,3.502,2800.0
300+930,2,1.0,False,30,0.0,0.0068,0.0068,-2940.0,-2347.3586,0.068,10.592,4.342,4000.0
300+930,2,0.8,False,30,0.0,0.0046,0.0046,-2940.0,-2357.4,0.046,10.576,4.404,3200.0
300+930,2,0.9,False,30,0.0,0.0046,0.0046,-2940.0,-2357.4,0.046,10.576,4.404,3600.0
930+2000,2,0.5,False,30,0.0,0.002,0.002,-2940.0,-2375.192,0.02,8.666,2.634,2000.0
930+2000,2,0.6,False,30,0.0,0.002,0.002,-2940.0,-2375.192,0.02,8.666,2.634,2400.0
930+2000,2,1.0,True,30,0.0,0.002,0.002,-2940.0,-2375.192,0.02,8.666,2.634,2000.0
300+930+2000,3,0.7,False,30,0.0,0.0052,0.0052,-2940.0,-2376.2628,0.052,10.472,4.204,4200.0
300+930,2,0.7,False,30,0.0,0.0046,0.0046,-2940.0,-2405.6009,0.046,10.008,3.914,2800.0
300+2000,2,0.7,False,30,0.0,0.004,0.004,-2940.0,-2418.964,0.04,9.952,3.866,2800.0
300+2000,2,0.8,False,30,0.0,0.004,0.004,-2940.0,-2418.964,0.04,9.952,3.866,3200.0
300+2000,2,0.9,False,30,0.0,0.004,0.004,-2940.0,-2418.964,0.04,9.952,3.866,3600.0
300+2000,2,1.0,False,30,0.0,0.004,0.004,-2940.0,-2418.964,0.04,9.952,3.866,4000.0
930,1,1.0,True,30,0.0,0.0048,0.0048,-2940.0,-2457.288,0.048,9.804,3.596,2000.0
930,1,1.0,False,30,0.0,0.0048,0.0048,-2940.0,-2457.288,0.048,9.804,3.596,2000.0
300+930+2000,3,0.5,False,30,0.0,0.003,0.003,-2940.0,-2458.916,0.03,10.03,3.654,3000.0
300+930+2000,3,0.6,False,30,0.0,0.003,0.003,-2940.0,-2458.916,0.03,10.03,3.654,3600.0
300+930,2,0.5,False,30,0.0,0.002,0.002,-2940.0,-2478.0769,0.02,9.454,3.268,2000.0
300+930,2,0.6,False,30,0.0,0.002,0.002,-2940.0,-2478.0769,0.02,9.454,3.268,2400.0
300+930,2,1.0,True,30,0.0,0.002,0.002,-2940.0,-2478.0769,0.02,9.454,3.268,2000.0
300,1,0.5,True,30,0.0,0.0008,0.0008,-2940.0,-2493.616,0.008,7.6,2.0,1000.0
300,1,0.5,False,30,0.0,0.0008,0.0008,-2940.0,-2493.616,0.008,7.6,2.0,1000.0
300,1,0.6,True,30,0.0,0.0008,0.0008,-2940.0,-2493.616,0.008,7.6,2.0,1200.0
300,1,0.6,False,30,0.0,0.0008,0.0008,-2940.0,-2493.616,0.008,7.6,2.0,1200.0
300,1,0.7,True,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1400.0
300,1,0.7,False,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1400.0
300,1,0.8,True,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1600.0
300,1,0.8,False,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1600.0
300,1,0.9,True,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1800.0
300,1,0.9,False,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,1800.0
300,1,1.0,True,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,2000.0
300,1,1.0,False,30,0.0,0.002,0.002,-2940.0,-2498.672,0.02,9.086,2.992,2000.0
300+2000,2,0.5,False,30,0.0,0.0014,0.0014,-2940.0,-2501.044,0.014,8.79,2.846,2000.0
300+2000,2,0.6,False,30,0.0,0.0014,0.0014,-2940.0,-2501.044,0.014,8.79,2.846,2400.0
300+2000,2,1.0,True,30,0.0,0.0014,0.0014,-2940.0,-2501.044,0.014,8.79,2.846,2000.0
300+930+2000,3,1.0,False,84,0.0,0.1924,0.1916,-2940.0,1033.043325,1.962,10.65,4.496,6000.0
300+930+2000,3,0.8,False,84,0.0,0.181,0.1804,-2940.0,838.3987499999998,1.844,10.678,4.538,4800.0
300+930+2000,3,0.9,False,84,0.0,0.181,0.1804,-2940.0,838.3987499999998,1.844,10.678,4.538,5400.0
930+2000,2,1.0,False,84,0.0,0.1734,0.1722,-2940.0,653.8348999999998,1.77,10.442,4.37,4000.0
300+930,2,1.0,False,84,0.0,0.1728,0.1722,-2940.0,647.8926000000001,1.768,10.294,4.14,4000.0
300+930,2,0.8,False,84,0.0,0.1656,0.1652,-2940.0,533.7851,1.684,10.382,4.268,3200.0
300+930,2,0.9,False,84,0.0,0.1656,0.1652,-2940.0,533.7851,1.684,10.382,4.268,3600.0
930+2000,2,0.8,False,84,0.0,0.1596,0.1594,-2940.0,470.127125,1.624,10.73,4.844,3200.0
930+2000,2,0.9,False,84,0.0,0.1596,0.1594,-2940.0,470.127125,1.624,10.73,4.844,3600.0
300+930+2000,3,0.7,False,84,0.0,0.1616,0.1602,-2940.0,430.35815,1.644,10.354,4.198,4200.0
300+2000,2,0.7,False,84,0.0,0.1494,0.1494,-2940.0,191.52480000000014,1.518,9.986,3.966,2800.0
300+2000,2,0.8,False,84,0.0,0.1494,0.1494,-2940.0,191.52480000000014,1.518,9.986,3.966,3200.0
300+2000,2,0.9,False,84,0.0,0.1494,0.1494,-2940.0,191.52480000000014,1.518,9.986,3.966,3600.0
300+2000,2,1.0,False,84,0.0,0.1494,0.1494,-2940.0,191.52480000000014,1.518,9.986,3.966,4000.0
300+930,2,0.7,False,84,0.0,0.1384,0.1376,-2940.0,-31.045200000000023,1.408,9.89,3.744,2800.0
930,1,1.0,True,84,0.0,0.1378,0.1376,-2940.0,-60.4076500000001,1.398,9.488,3.57,2000.0
930,1,1.0,False,84,0.0,0.1378,0.1376,-2940.0,-60.4076500000001,1.398,9.488,3.57,2000.0
300+930+2000,3,0.5,False,84,0.0,0.1332,0.1326,-2940.0,-122.98885000000018,1.354,9.946,3.844,3000.0
300+930+2000,3,0.6,False,84,0.0,0.1332,0.1326,-2940.0,-122.98885000000018,1.354,9.946,3.844,3600.0
930+2000,2,0.7,False,84,0.0,0.127,0.1266,-2940.0,-194.9007999999999,1.294,10.18,4.306,2800.0
300+930,2,0.5,False,84,0.0,0.12,0.1198,-2940.0,-412.89440000000013,1.214,9.576,3.468,2000.0
300+930,2,0.6,False,84,0.0,0.12,0.1198,-2940.0,-412.89440000000013,1.214,9.576,3.468,2400.0
300+930,2,1.0,True,84,0.0,0.12,0.1198,-2940.0,-412.89440000000013,1.214,9.576,3.468,2000.0
930,1,0.8,True,84,0.0,0.1074,0.1074,-2940.0,-535.2231999999999,1.09,10.094,4.202,1600.0
930,1,0.8,False,84,0.0,0.1074,0.1074,-2940.0,-535.2231999999999,1.09,10.094,4.202,1600.0
930,1,0.9,True,84,0.0,0.1074,0.1074,-2940.0,-535.2231999999999,1.09,10.094,4.202,1800.0
930,1,0.9,False,84,0.0,0.1074,0.1074,-2940.0,-535.2231999999999,1.09,10.094,4.202,1800.0
300,1,0.7,True,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1400.0
300,1,0.7,False,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1400.0
300,1,0.8,True,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1600.0
300,1,0.8,False,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1600.0
300,1,0.9,True,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1800.0
300,1,0.9,False,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,1800.0
300,1,1.0,True,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,2000.0
300,1,1.0,False,84,0.0,0.1072,0.1072,-2940.0,-601.8124499999999,1.1,9.342,3.374,2000.0
300+2000,2,0.5,False,84,0.0,0.1066,0.1064,-2940.0,-654.91815,1.074,9.358,3.452,2000.0
300+2000,2,0.6,False,84,0.0,0.1066,0.1064,-2940.0,-654.91815,1.074,9.358,3.452,2400.0
300+2000,2,1.0,True,84,0.0,0.1066,0.1064,-2940.0,-654.91815,1.074,9.358,3.452,2000.0
300+930+2000,3,0.4,False,84,0.0,0.0992,0.099,-2940.0,-688.2733499999999,0.996,10.662,4.614,2400.0
300+930+2000,3,1.0,True,84,0.0,0.0992,0.099,-2940.0,-688.2733499999999,0.996,10.662,4.614,2000.0
930+2000,2,0.5,False,84,0.0,0.0996,0.0996,-2940.0,-743.4584500000001,1.008,9.862,3.846,2000.0
930+2000,2,0.6,False,84,0.0,0.0996,0.0996,-2940.0,-743.4584500000001,1.008,9.862,3.846,2400.0
930+2000,2,1.0,True,84,0.0,0.0996,0.0996,-2940.0,-743.4584500000001,1.008,9.862,3.846,2000.0
300+930+2000,3,0.1,True,84,0.0,0.0,0.0,-980.0,-982.156,0.0,0.032,0.0,200.0
930+2000,2,0.1,True,84,0.0,0.0,0.0,-980.0,-988.232,0.0,0.044,0.0,200.0
300+930,2,0.4,False,84,0.0,0.0834,0.0834,-2940.0,-991.2574500000001,0.842,10.138,4.212,1600.0
300+930,2,0.7,True,84,0.0,0.0834,0.0834,-2940.0,-991.2574500000001,0.842,10.138,4.212,1400.0
300+930,2,0.8,True,84,0.0,0.0834,0.0834,-2940.0,-991.2574500000001,0.842,10.138,4.212,1600.0
300+930,2,0.9,True,84,0.0,0.0834,0.0834,-2940.0,-991.2574500000001,0.842,10.138,4.212,1800.0
300+2000,2,0.1,True,84,0.0,0.0,0.0,-980.0,-1011.164,0.0,0.178,0.0,200.0
2000,1,0.1,True,84,0.0,0.0,0.0,-980.0,-1013.712,0.0,0.076,0.0,200.0
2000,1,0.1,False,84,0.0,0.0,0.0,-980.0,-1013.712,0.0,0.076,0.0,200.0
300+930,2,0.1,True,84,0.0,0.0,0.0,-980.0,-1025.668,0.0,0.402,0.0,200.0
930,1,0.1,True,84,0.0,0.0,0.0,-980.0,-1102.108,0.0,0.756,0.0,200.0
930,1,0.1,False,84,0.0,0.0,0.0,-980.0,-1102.108,0.0,0.756,0.0,200.0
300+930+2000,3,0.2,True,84,0.0,0.0,0.0,-980.0,-1126.804,0.0,1.658,0.026,400.0
300+2000,2,0.4,False,84,0.0,0.0766,0.076,-2940.0,-1160.1273,0.768,9.874,3.896,1600.0
300+2000,2,0.7,True,84,0.0,0.0766,0.076,-2940.0,-1160.1273,0.768,9.874,3.896,1400.0
300+2000,2,0.8,True,84,0.0,0.0766,0.076,-2940.0,-1160.1273,0.768,9.874,3.896,1600.0
