combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
39904b043f41,1.0,1.25,0.0,1.0,True,154,0.5519,0.101,0.5,8.2824,50K,fixed_dollar,0.4,0.6,0.44,13.05
e995bc88e7b5,1.0,1.25,0.5,0.0,False,366,0.5738,0.1547,0.5,17.444,150K,pct_balance,0.4,0.6,0.435,13.05
d60f9a2f2cb0,1.0,1.25,0.5,0.0,True,163,0.5583,0.1184,0.5,11.5438,50K,pct_balance,0.4,0.6,0.468,13.66
9ceeea3b3945,1.0,1.25,0.5,1.0,False,345,0.5739,0.1527,0.5,16.175,150K,pct_balance,0.4,0.6,0.443,12.95
430c0f38da76,1.0,1.25,0.5,1.0,True,154,0.5519,0.101,0.5,8.2824,50K,fixed_dollar,0.4,0.6,0.44,13.02
e3119eedad25,1.0,1.25,1.0,0.0,False,366,0.5738,0.1547,0.5,17.444,150K,pct_balance,0.4,0.6,0.435,13.18
d0067b541925,1.0,1.25,1.0,0.0,True,163,0.5583,0.1184,0.5,11.5438,50K,pct_balance,0.4,0.6,0.468,13.04
d4b12f51ba92,1.0,1.25,1.0,1.0,False,345,0.5739,0.1527,0.5,16.175,150K,pct_balance,0.4,0.6,0.443,12.85
89a76ff07f72,1.0,1.25,1.0,1.0,True,154,0.5519,0.101,0.5,8.2824,50K,fixed_dollar,0.4,0.6,0.44,12.74
4ab4af988d89,1.0,1.5,0.0,0.0,False,363,0.5647,0.1335,0.5,13.5398,50K,fixed_dollar,0.4,0.6,0.492,12.69
555afb6f5d22,1.0,1.5,0.0,0.0,True,159,0.566,0.1328,0.5,13.1107,50K,pct_balance,0.6,0.6,0.421,12.98
13f180135523,1.0,1.5,0.0,1.0,False,342,0.5702,0.1414,0.5,14.4258,50K,fixed_dollar,0.4,0.6,0.489,12.9
