combo_id,strategy,params_json,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
447263251758,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",588,0.4184,-0.2284,0.3796,-4.7076,25K,floor_aware,0.2,0.4,0.0,6.28
817840f166ff,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 2}",565,0.4336,-0.1904,0.3648,-3.8715,25K,floor_aware,0.2,0.4,0.0,6.5
2c80461281e1,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 3}",565,0.4336,-0.1904,0.3648,-3.8715,25K,floor_aware,0.2,0.4,0.0,6.19
921455a17cf6,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 1}",817,0.5129,-0.0886,0.5274,-3.1312,25K,floor_aware,0.2,0.4,0.002,5.28
f722d2c60db5,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",714,0.5056,-0.0921,0.4609,-2.8166,25K,floor_aware,0.2,1.0,0.006,6.84
fa907afac3c7,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",714,0.5056,-0.0921,0.4609,-2.8166,25K,floor_aware,0.2,1.0,0.006,5.88
634b8259f5f9,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",819,0.5153,-0.0843,0.5287,-3.0667,25K,floor_aware,0.2,1.0,0.01,5.32
25b805a1fa52,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",701,0.5036,-0.0925,0.4526,-2.8305,25K,floor_aware,0.2,0.8,0.002,6.29
552116b8e552,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",701,0.5036,-0.0925,0.4526,-2.8305,25K,floor_aware,0.2,0.8,0.002,8.39
179a5d4c3291,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",797,0.5194,-0.0735,0.5145,-2.9686,25K,floor_aware,0.2,1.0,0.022,8.06
