combo_id,allowed_sessions,rr_ratio,require_bos,momentum_only,disp_min_atr_mult,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
32aec71b8a12,London+NY,1.25,True,False,0.0,702,0.396,-0.0809,0.5,-2.2227,50K,floor_aware,0.2,0.2,0.056,9.09
0fa708df1cd8,London+NY,1.25,True,False,1.0,670,0.3851,-0.1092,0.5,-2.8342,50K,floor_aware,0.2,0.2,0.03,8.69
28ba58745e8d,London+NY,1.25,True,False,2.0,929,0.4521,0.0189,0.5,-1.8147,50K,fixed_dollar,0.4,0.4,0.328,13.08
b62810829543,London+NY,1.25,False,True,0.0,764,0.4293,-0.0295,0.5,-1.5666,50K,fixed_dollar,0.6,0.4,0.164,8.9
45bf5ddb2e7a,London+NY,1.25,False,True,1.0,735,0.415,-0.0598,0.5,-1.9407,50K,floor_aware,0.2,0.2,0.078,9.2
12a2c798339a,London+NY,1.25,False,True,2.0,1072,0.4478,0.0127,0.5,-1.0704,50K,fixed_dollar,0.6,0.4,0.37,11.19
b253d6b160ec,London+NY,1.25,False,False,0.0,772,0.4236,-0.0404,0.5,-1.5675,50K,floor_aware,0.2,0.2,0.148,11.47
99cd728c90f1,London+NY,1.25,False,False,1.0,744,0.4126,-0.066,0.5,-2.0364,50K,floor_aware,0.2,0.2,0.082,9.16
8e1090822bbc,London+NY,1.25,False,False,2.0,860,0.4291,-0.0306,0.5,-2.0538,50K,fixed_dollar,0.4,0.6,0.24,11.09
d8c0e2ece6d9,London+NY,1.5,True,True,0.0,774,0.376,-0.0397,0.5,-2.1835,50K,floor_aware,0.4,0.2,0.186,10.95
27cf7840fe34,London+NY,1.5,True,True,1.0,739,0.3654,-0.0707,0.5,-2.5147,50K,fixed_dollar,0.2,0.6,0.134,9.53
d04e28ade0b3,London+NY,1.5,True,True,2.0,891,0.4231,0.056,0.5,0.5468,50K,fixed_dollar,0.2,0.6,0.362,10.49
5c6ae20370fb,London+NY,1.5,True,False,0.0,730,0.3671,-0.0657,0.5,-2.4065,50K,floor_aware,0.2,0.2,0.074,8.43
4d46390648a8,London+NY,1.5,True,False,1.0,697,0.3572,-0.0907,0.5,-2.5252,50K,fixed_dollar,0.6,0.4,0.132,10.84
a412f56ce2cb,London+NY,1.5,True,False,2.0,919,0.4102,0.0227,0.5,-1.7465,50K,fixed_dollar,0.2,0.6,0.312,12.36
82b98359a5a2,London+NY,1.5,False,True,0.0,752,0.383,-0.0442,0.5,-1.6752,50K,floor_aware,0.4,0.2,0.222,9.2
11aa7f126581,London+NY,1.5,False,True,1.0,730,0.374,-0.0624,0.5,-1.9367,50K,floor_aware,0.2,0.6,0.124,8.11
bc09fe52939f,London+NY,1.5,False,True,2.0,1290,0.4186,0.0494,0.5,-0.2285,50K,fixed_dollar,0.4,0.4,0.412,11.96
095e0b9c93c2,London+NY,1.5,False,False,0.0,701,0.368,-0.0752,0.5,-1.9038,50K,fixed_dollar,0.6,0.6,0.152,9.83
db0d9b475144,London+NY,1.5,False,False,1.0,695,0.3626,-0.0855,0.5,-2.237,50K,floor_aware,0.2,0.2,0.088,8.4
fc4c15dda3fb,London+NY,1.5,False,False,2.0,988,0.4008,0.0047,0.5,-1.2556,50K,fixed_dollar,0.2,0.6,0.344,12.13
08ddc8ec283c,Asia+London+NY,0.5,True,True,0.0,700,0.3214,-0.0674,0.7692,-1.2118,50K,floor_aware,0.4,0.4,0.006,9.96
e068dee6873a,Asia+London+NY,0.5,True,True,1.0,719,0.3588,-0.0575,0.5,-1.3825,50K,fixed_dollar,0.4,0.6,0.01,12.71
e985a1aad7cf,Asia+London+NY,0.5,True,True,2.0,854,0.555,-0.0738,0.5,-2.1866,50K,floor_aware,0.2,0.2,0.036,9.04
47b4cc1e7a85,Asia+London+NY,0.5,True,False,0.0,714,0.2969,-0.0585,0.7846,-1.248,50K,fixed_dollar,0.2,0.2,0.002,11.16
5bb4d06bc9d7,Asia+London+NY,0.5,True,False,1.0,730,0.3233,-0.0377,0.5,-1.3546,50K,floor_aware,0.2,0.2,0.004,11.77
f9d22af7347b,Asia+London+NY,0.5,True,False,2.0,804,0.5386,-0.0659,0.5,-1.6938,50K,floor_aware,0.2,0.2,0.042,9.84
25d3011e6a8d,Asia+London+NY,0.5,False,True,0.0,749,0.2964,-0.0338,0.8249,-1.0563,50K,floor_aware,0.2,0.2,0.004,10.42
77e5d6f0838c,Asia+London+NY,0.5,False,True,1.0,728,0.2912,-0.0529,0.8,-1.1043,50K,floor_aware,0.2,0.2,0.002,12.82
9c131988d1a1,Asia+London+NY,0.5,False,True,2.0,614,0.3469,-0.1609,0.5,-2.7692,50K,floor_aware,0.2,0.2,0.0,10.01
8dd88db59188,Asia+London+NY,0.5,False,False,0.0,745,0.298,-0.0533,0.8205,-1.3085,50K,fixed_dollar,0.4,0.2,0.002,10.41
08931233cd69,Asia+London+NY,0.5,False,False,1.0,775,0.3135,-0.0188,0.8535,-0.9748,50K,floor_aware,0.2,0.2,0.014,12.67
8b8dba023c81,Asia+London+NY,0.5,False,False,2.0,602,0.3372,-0.1606,0.5,-2.6106,50K,fixed_dollar,0.6,0.4,0.002,9.93
d86ea5f7201f,Asia+London+NY,0.75,True,True,0.0,672,0.4256,-0.0901,0.7385,-1.5899,50K,floor_aware,0.2,0.2,0.01,11.0
59cfcf32dcd3,Asia+London+NY,0.75,True,True,1.0,709,0.464,-0.0706,0.5,-1.4072,50K,fixed_dollar,0.6,0.6,0.034,11.86
d05b2acb598c,Asia+London+NY,0.75,True,True,2.0,939,0.5399,-0.0397,0.5,-1.9933,50K,floor_aware,0.2,0.2,0.154,10.71
ec8050268d1a,Asia+London+NY,0.75,True,False,0.0,675,0.4119,-0.0981,0.7434,-1.8385,50K,floor_aware,0.4,0.2,0.002,11.17
03411b568156,Asia+London+NY,0.75,True,False,1.0,701,0.4479,-0.067,0.7703,-1.2877,50K,fixed_dollar,0.2,0.4,0.018,11.13
bcdd8bd37cdd,Asia+London+NY,0.75,True,False,2.0,921,0.5451,-0.0259,0.5,-1.6441,50K,floor_aware,0.2,0.2,0.178,13.2
4f16dcdbf58e,Asia+London+NY,0.75,False,True,0.0,784,0.4719,-0.0096,0.5,-1.338,50K,floor_aware,0.2,0.2,0.028,10.62
e5ff6f1e1601,Asia+London+NY,0.75,False,True,1.0,745,0.4591,-0.0368,0.8187,-1.2134,50K,floor_aware,0.2,0.2,0.018,11.21
a6ce85fc8f6f,Asia+London+NY,0.75,False,True,2.0,677,0.4712,-0.0895,0.5,-1.7917,50K,floor_aware,0.2,0.2,0.02,12.88
92cf0b992042,Asia+London+NY,0.75,False,False,0.0,763,0.4535,-0.0441,0.8403,-1.3242,50K,floor_aware,0.2,0.2,0.036,10.76
